age_calBP,years_AD,d13C,d18O
7034.717403,-5085,-2.657743116,-11.81736595
7002.912981,-5053,-2.438135987,-11.96343385
6971.223752,-5021,-2.028751878,-11.50172873
6939.650103,-4990,-1.938955467,-11.59315864
6908.192414,-4958,-1.937664699,-11.56994317
6876.851058,-4927,-2.062189394,-11.55678348
6845.6264,-4896,-2.134424066,-11.67394914
6814.518796,-4865,-2.120986159,-11.65701952
6783.528597,-4834,-2.133506379,-11.62391369
6752.656143,-4803,-2.074181858,-11.63877539
6721.901769,-4772,-1.964493245,-11.44798036
6691.2658,-4741,-2.140376983,-11.63221952
6660.748554,-4711,-2.109760481,-11.64409764
6630.350342,-4680,-2.177152233,-11.59007192
6600.071466,-4650,-2.171699856,-11.77058078
6569.912222,-4620,-2.098954318,-11.57690388
6539.872896,-4590,-2.141056133,-11.62004265
6509.953768,-4560,-2.070235147,-11.71800997
6480.155109,-4530,-2.116683732,-11.70605925
6450.477184,-4500,-2.120662505,-11.6355031
6420.920248,-4471,-2.221781458,-11.83435451
6391.484549,-4441,-2.084927999,-11.78335075
6362.170328,-4412,-2.454498476,-11.45879421
6332.977818,-4383,-2.45456082,-11.66565976
6303.907244,-4354,-2.450958893,-11.27388873
6274.958823,-4325,-2.231098815,-11.09597672
6246.132764,-4296,-2.417671812,-11.2289505
6217.429269,-4267,-2.740400179,-11.85882792
6188.848533,-4239,-2.645855207,-11.65011425
6160.39074,-4210,-2.816424982,-11.79317903
6132.05607,-4182,-2.566226836,-11.74547675
6103.844693,-4154,-2.498947819,-12.19686881
6075.756772,-4126,-2.236637102,-12.10866964
6047.792461,-4098,-2.697028597,-12.34711783
6019.95191,-4070,-2.586546245,-12.1535473
5992.235256,-4042,-2.669523548,-12.35784787
5964.642631,-4015,-2.771918852,-12.46903596
5937.174161,-3987,-2.253621655,-11.81088058
5909.82996,-3960,-2.696695383,-11.90614196
5882.610137,-3933,-2.206810714,-12.00792888
5855.514794,-3906,-2.181940879,-11.92713446
5828.544022,-3879,-2.533816886,-12.01498737
5801.697907,-3852,-2.148677922,-11.90316892
5774.976527,-3825,-2.572126912,-11.90932669
5748.379952,-3798,-2.570128519,-12.22370894
5721.908242,-3772,-2.472617933,-12.029953
5695.561452,-3746,-2.475496858,-12.14256381
5669.339629,-3719,-2.673100011,-12.35145545
5643.24281,-3693,-2.535569377,-12.34717407
5617.271028,-3667,-2.382966124,-12.0752859
5591.424304,-3641,-2.476334671,-12.05137794
