"","age_calBP","method","Temp"
"185",909,"SA_temp",-0.18
"186",908,"SA_temp",-0.45
"187",907,"SA_temp",-0.18
"188",906,"SA_temp",-0.22
"189",905,"SA_temp",-0.26
"190",904,"SA_temp",0
"191",903,"SA_temp",-0.33
"192",902,"SA_temp",-0.32
"193",901,"SA_temp",-0.33
"194",900,"SA_temp",-0.08
"195",899,"SA_temp",-0.33
"196",898,"SA_temp",-0.36
"197",897,"SA_temp",0.16
"198",896,"SA_temp",-0.03
"199",895,"SA_temp",-0.01
"200",894,"SA_temp",-0.25
"201",893,"SA_temp",0.01
"202",892,"SA_temp",0.2
"203",891,"SA_temp",-0.31
"204",890,"SA_temp",-0.06
"205",889,"SA_temp",-0.18
"206",888,"SA_temp",0.07
"207",887,"SA_temp",-0.28
"208",886,"SA_temp",-0.03
"209",885,"SA_temp",-0.55
"210",884,"SA_temp",-0.31
"211",883,"SA_temp",0.11
"212",882,"SA_temp",-0.17
"213",881,"SA_temp",-0.54
"214",880,"SA_temp",-0.28
"215",879,"SA_temp",-0.46
"216",878,"SA_temp",-0.19
"217",877,"SA_temp",-0.3
"218",876,"SA_temp",-0.54
"219",875,"SA_temp",-0.7
"220",874,"SA_temp",-0.19
"221",873,"SA_temp",0.07
"222",872,"SA_temp",-0.32
"223",871,"SA_temp",-0.24
"224",870,"SA_temp",0.03
"225",869,"SA_temp",0.01
"226",868,"SA_temp",0.01
"227",867,"SA_temp",-0.05
"228",866,"SA_temp",0.1
"229",865,"SA_temp",0.08
"230",864,"SA_temp",0.09
"231",863,"SA_temp",0.06
"232",862,"SA_temp",-0.24
"233",861,"SA_temp",-0.53
"234",860,"SA_temp",-0.25
"235",859,"SA_temp",-0.53
"236",858,"SA_temp",-0.17
"237",857,"SA_temp",0.04
"238",856,"SA_temp",-0.68
"239",855,"SA_temp",-0.46
"240",854,"SA_temp",-0.16
"241",853,"SA_temp",-0.13
"242",852,"SA_temp",-0.2
"243",851,"SA_temp",-0.16
"244",850,"SA_temp",-0.34
"245",849,"SA_temp",-0.46
"246",848,"SA_temp",-0.48
"247",847,"SA_temp",-0.12
"248",846,"SA_temp",-0.13
"249",845,"SA_temp",-0.19
"250",844,"SA_temp",-0.21
