depth,bchron_age_model,%_tom,%_tc,dry_bd,%_lithics,%_clay,%_silt,%_sand,C_N,d13C,d15N,charcoal
65,527,32.4,5.2,0.3,55.4,49.1,41.7,7.9,12.7,-26.86,0.43,1.26
66,531,31.8,5.9,0.3,53.9,50.4,44.6,3.8,12.9,-26.64,0.21,1.45
67,535,32.7,6.6,0.3,54.5,49.8,43.1,6.3,13,-26.42,-0.02,2.75
68,540.5,34.9,7,0.3,42.6,50.3,40,8.3,13.2,-26.2,-0.24,4.41
69,546.5,39.7,7.5,0.2,49.6,48.7,40.2,10.2,13.3,-25.94,-0.39,6.08
70,551,39.7,7,0.2,55.4,38.1,55.5,6,13.3,-25.55,-0.33,7.75
71,556,35.5,4.8,0.3,45.5,42.3,48.4,7.3,13.3,-25.16,-0.27,9.41
72,562,34.4,4.1,0.3,51.7,62.6,29.4,6.7,13.3,-24.77,-0.21,9.14
73,567,34.4,3.9,0.3,49,61.2,33.3,4.3,13.3,-24.38,-0.15,8.22
74,572,34.7,4.5,0.3,50.8,45.7,48,5.9,13.4,-24.21,-0.07,7.3
75,578,36.2,7,0.3,64.7,52.7,44.6,1.7,14,-24.71,0.08,6.37
76,582,36.6,7.4,0.3,50.8,48.2,39.6,11.3,14.6,-25.22,0.22,5.45
77,587,36.7,6.4,0.2,52.8,48.8,36.6,13,15.2,-25.72,0.36,4.95
78,593,37.5,5.6,0.2,47.1,46.5,30.8,21.4,15.8,-26.22,0.5,4.58
79,599,40.6,5.1,0.2,48.8,51,36.5,11.5,16.2,-26.47,0.63,4.21
80,606,41.2,5.3,0.2,51.8,54.1,37.3,7,15.8,-25.96,0.73,3.84
81,614,40.5,6.4,0.2,68.9,52.1,45.2,1.3,15.4,-25.44,0.83,3.48
82,632,37,6.4,0.3,39.1,54.7,35,9.3,15,-24.93,0.93,3.23
83,649,25.6,5.2,0.4,66.7,50.2,39.7,8.8,14.6,-24.41,1.03,3.33
84,664,24.6,3.9,0.4,83.7,54.5,38.3,5.6,14.2,-24.02,1.1,3.42
85,677,31.4,2.6,0.3,75.1,53.3,39.1,6.2,13.9,-24.02,1.1,3.52
86,689,34.4,2.4,0.3,58.7,51.6,38.7,7.9,13.5,-24.01,1.1,3.62
87,702,35.4,3,0.3,40.8,50.7,38.7,9.9,13.2,-24,1.1,3.74
88,716,36.8,3.1,0.3,51.6,51.1,38.5,9.1,12.9,-23.99,1.1,3.87
89,731,38.9,2.7,0.2,59.4,46.6,45.9,6.1,12.7,-23.92,1.09,4
90,745.5,38.7,2.7,0.2,55.6,15,54.6,30.5,13,-23.7,1.05,4.13
91,761,36,2.9,0.3,59,21.1,63.2,14.4,13.2,-23.48,1.01,4.26
92,774,35.8,3,0.3,48.8,21.7,73.5,3.6,13.5,-23.25,0.97,4.24
93,788,37.3,3.1,0.3,46.4,39.3,50.1,9.5,13.7,-23.03,0.93,4.18
94,802,37,3,0.3,51.9,44.9,41,12.8,13.8,-22.95,0.96,4.11
95,817,33.8,2.7,0.3,47.3,24.7,60.4,13.6,13.5,-23.34,1.18,4.04
96,833,32.1,2.7,0.3,57.2,25.7,59.4,14,13.2,-23.72,1.4,3.98
97,846,31.3,3.1,0.3,49.2,51.7,35.5,11.9,12.9,-24.11,1.62,3.98
98,862,31.1,3.2,0.3,49.9,53.6,37.6,7.1,12.6,-24.5,1.84,4.01
99,878,31.1,3.2,0.3,53.2,54.1,44,1.6,12.3,-24.86,1.96,4.04
100,891,31.7,3.3,0.3,56.8,40.4,51.9,7.3,12.2,-25.14,1.8,4.07
101,905,34.7,3.6,0.3,53.2,55.4,35.1,8.1,12.1,-25.43,1.64,4.1
102,919,35,3.6,0.3,53.1,48.5,39.9,9.9,11.9,-25.72,1.48,4.63
103,931.5,33.1,3.2,0.3,75.6,46.6,50.5,1.8,11.8,-26,1.32,5.33
104,945,31.7,3.2,0.3,50.1,52.3,34.6,11.8,11.8,-26.14,1.22,6.02
105,957,30.7,3.5,0.3,48.5,51.3,34.9,12.5,12.1,-25.82,1.28,6.72
106,969,31.4,3.6,0.3,59.7,49.7,37.4,11.8,12.4,-25.5,1.34,7.41
107,983.5,35.1,3.5,0.2,65.6,54.4,41.1,3.4,12.6,-25.18,1.4,7.05
108,998.5,35.7,3.4,0.2,44.5,44.3,42.3,12.5,12.9,-24.86,1.46,6.33
109,1012.5,34.7,3,0.3,66.9,43.6,40.8,14.5,13,-24.59,1.46,5.62
110,1025,33.9,2.9,0.3,47.5,20.7,53.4,25.5,12.6,-24.44,1.28,4.91
111,1039,33.4,3.1,0.3,54.9,51.3,42.3,5,12.2,-24.3,1.1,4.19
112,1054.5,32.1,3.2,0.3,54.4,43.7,49.1,6.1,11.9,-24.15,0.92,4.47
113,1071,29.7,3.2,0.3,58.9,50,40.4,8.5,11.5,-24.01,0.74,5.09
114,1088,30.7,3.2,0.3,64.1,30.7,53.9,14.7,11.3,-24.01,0.63,5.71
115,1108.5,37.3,3.2,0.2,47,49.8,36.5,12.4,11.7,-24.44,0.76,6.32
116,1131,38,3.2,0.2,33.4,48.4,39.2,11.3,12.2,-24.87,0.89,6.94
117,1145.5,34.7,3.2,0.2,39.3,51.5,41.7,5.7,12.6,-25.3,1.01,6.72
118,1158,34.2,3.2,0.2,39.1,53.5,39.2,6.2,13,-25.73,1.14,6.22
119,1173,35.1,3.1,0.2,37.3,56,35.3,7.1,13.4,-26.16,1.27,5.72
120,1183,33.9,3,0.3,35.8,51.2,35.9,11.3,13.4,-26.8,1.35,5.22
121,1193,27.5,3.2,0.3,60.8,50,43.9,4.4,13.2,-27.5,1.41,4.72
122,1204,27.2,3.2,0.3,58.7,50.8,46.4,1.6,13.1,-28.21,1.47,4.76
123,1212,32,3.2,0.3,54.7,55.5,36.7,6.5,12.9,-28.91,1.53,4.98
124,1222,33.1,3.2,0.2,57.3,53.6,34.5,10.5,12.7,-29.62,1.59,5.2
125,1231,33,3.3,0.2,40.1,48.4,39.4,11.2,13.2,-29.04,1.69,5.42
126,1240,31.7,3.3,0.2,37.9,34.8,53.7,10.6,13.9,-28.02,1.81,5.64
127,1247,25.7,3.1,0.4,52.4,58.5,32.1,8.8,14.6,-27,1.93,5.74
128,1254.5,24.6,2.9,0.4,63.6,69.6,26.2,2.6,15.3,-25.99,2.05,5.79
129,1262,25.8,2.8,0.4,51.6,48,45.4,4.4,16,-24.97,2.17,5.84
130,1269,28.1,2.8,0.3,67.6,27.7,67.4,4.2,15.9,-25.17,2.02,5.9
131,1278,33,3.1,0.3,49,53.9,36.8,7.8,15.4,-25.77,1.78,5.97
132,1286.5,35.7,3.1,0.2,22.3,58.1,36.9,3.7,15,-26.38,1.54,6.09
133,1293.5,37.2,2.8,0.2,64.5,55.1,40.9,2.7,14.6,-26.98,1.3,6.22
134,1301,37.4,2.9,0.2,51.2,51.7,40.9,6.1,14.1,-27.59,1.06,6.34
135,1310,37.1,3.6,0.2,59.6,59,37.7,2,14,-27.8,0.99,6.47
136,1318,37.3,3.8,0.2,50.5,55,37.3,6.5,14,-27.88,0.97,6.59
137,1325,38.5,3.9,0.2,51.4,53.7,33.7,11.2,14.1,-27.96,0.95,6.31
138,1332,37.6,3.9,0.2,40.6,55.8,29.3,13.5,14.1,-28.04,0.93,5.89
139,1340,32.5,3.9,0.2,37.5,48.5,33.9,16.6,14.1,-28.12,0.91,5.46
140,1350,32.2,3.7,0.2,51.3,58.1,33.8,6.8,14.5,-28.46,0.94,5.04
141,1358,35.8,3.3,0.2,44.8,57.9,35.8,4.7,14.9,-28.88,0.99,4.62
142,1366,35.6,3.3,0.3,48.7,64.2,29.5,4.9,15.4,-29.3,1.04,4.68
143,1374,31.3,3.6,0.3,56.2,64.4,28.2,5.6,15.9,-29.72,1.09,4.89
144,1381,30.6,3.6,0.3,53.1,60.7,28.2,9.3,15.6,-29.11,1.12,5.11
145,1391,31.5,3.2,0.2,49.9,58.3,29.5,10.7,15,-28.17,1.14,5.33
146,1398,32.5,3.1,0.2,50.2,59.5,36,3,14.5,-27.22,1.16,5.54
147,1406,33.3,3.1,0.2,40.7,54.6,35.2,8.8,13.9,-26.28,1.18,5.06
148,1414.5,33.1,3.2,0.2,48.8,60.4,33.6,4.4,13.5,-25.74,1.21,4.34
149,1423,31.2,3.3,0.3,53.3,54.9,32.7,11.1,13.7,-26.44,1.23,3.62
150,1432,30.1,3.5,0.3,44.2,53.2,32,13.4,13.8,-27.14,1.26,2.91
151,1441,29.4,3.8,0.3,49.9,60.8,29.4,8.1,14,-27.84,1.28,2.19
152,1451,29.4,3.9,0.3,44.9,61.8,26.7,9.7,13.9,-28.15,1.3,2.25
