depth,bchron_age_model,%_tom,%_tc,dry_bd,%_lithics,%_clay,%_silt,%_sand,C_N,d13C,d15N,charcoal
281,2447,11.8,1.7,1.2,83.6,46.2,48.5,4.4,7.6,-23.9,3.64,0.15
282,2453,11.7,1.9,1.2,73.3,39.2,59.2,1,7.1,-22.92,3.77,0.86
283,2459,10.3,2.1,1,73,46,53,0,8.3,-23.16,3.24,1.91
284,2464,10,2.1,1,72.6,45.2,52.6,0.8,10.1,-23.79,2.5,2.96
285,2470,10.2,1.9,1,58.7,21.6,73.1,5.2,11.9,-24.43,1.76,4
286,2477,13.3,1.9,1,60,39.3,53.3,5.7,13.3,-24.91,1.22,5.05
287,2483,26.3,2.1,0.6,69.7,48,50,0.8,13.2,-24.94,1.3,5.87
288,2489,28.5,2.4,0.5,74,56.9,41.5,0.4,13.1,-24.98,1.38,6
289,2495.5,24.1,2.8,0.5,69.9,44.2,53.9,0.6,13,-25.01,1.46,6.14
290,2501,19.4,2.7,0.6,43.4,49.7,46.5,3.6,12.9,-25.04,1.54,6.27
291,2507,14.6,2.3,0.9,70.1,27,70.8,2.8,13.1,-24.84,1.74,6.41
292,2513,13.9,2.3,1,75.9,42,54.5,1.9,14,-23.93,2.29,6.62
293,2520,14.9,2.5,1,74.6,69.2,23.3,6.3,14.8,-23.02,2.84,7.09
294,2526,14.7,2.4,0.9,81.4,36.3,62.6,1,15.7,-22.12,3.39,7.56
295,2534,13.2,2.1,0.9,79.6,33.7,65.3,0.5,16.6,-21.58,3.74,8.03
296,2540.5,13.5,2,0.7,78.7,31.6,65.4,2.3,17.4,-22.13,3.52,8.5
297,2550,16,2.1,0.5,72.5,32.2,62.6,4.2,18.2,-22.69,3.29,13.18
298,2558,16.6,2.1,0.5,79.1,22.6,62.1,15.8,19,-23.24,3.07,19.27
299,2570,16.6,1.9,0.6,83.7,18.7,50.4,30,19.3,-23.7,2.83,25.35
300,2590,19.2,2.1,0.6,75.8,23.5,47.9,28.1,17.7,-23.89,2.53,31.44
301,2605,30.1,3,0.5,76,22.7,46.6,30.3,16.1,-24.07,2.23,37.52
302,2620,31.7,3.4,0.4,74.1,25.5,43.7,30.1,14.5,-24.26,1.93,34.01
303,2633,28,3.5,0.5,48.3,51.5,39.5,8.2,13.2,-24.48,1.7,27.29
304,2644.5,27.3,3.7,0.5,57.1,51.4,40.4,7,12.8,-24.81,1.7,20.58
305,2655,28,4.1,0.4,59.3,51.1,39.8,7.9,12.5,-25.15,1.7,13.87
306,2666,29.6,4,0.4,49.9,51.1,42.7,4.8,12.2,-25.48,1.7,7.15
307,2677,33.2,3.2,0.4,60.4,54.6,38.1,6.4,12.2,-25.64,1.68,6.46
308,2691,33.7,3,0.4,55.6,55.9,39.4,3.6,13.4,-25.28,1.58,7.77
309,2702.5,32.6,3.1,0.4,49.8,53.4,40.5,4.3,14.5,-24.93,1.48,9.09
310,2714,32,3.2,0.4,39.6,50.9,37.8,10.1,15.7,-24.57,1.38,10.4
311,2726,31.7,3.3,0.4,55.4,48.9,41.4,8.7,16.4,-24.36,1.28,11.71
312,2736,29.9,3.5,0.4,54.1,49.2,38.4,11.1,15.9,-24.57,1.18,12.24
313,2746,23.5,3.7,0.5,51.7,53.2,37.4,8.3,15.3,-24.78,1.08,12.52
314,2756,22.5,3.8,0.5,67.5,25.6,65,8.8,14.7,-24.99,0.98,12.79
315,2766,24.7,3.9,0.5,40,46,48.9,3.9,14.2,-25.11,0.89,13.07
316,2777,27.7,4,0.5,71.1,29.8,66.8,3.1,13.6,-24.97,0.84,13.34
317,2788.5,29.9,4.1,0.6,82.6,15.6,69.4,15.2,13,-24.82,0.79,12.95
318,2799,27.8,4,0.6,62.6,40.9,50.7,8,12.5,-24.68,0.74,12.33
319,2811,17.3,3.7,0.9,48.2,51.9,35.7,10.7,12.1,-24.61,0.73,11.71
320,2823,16.6,3.7,0.9,35.6,63.9,31.6,3.7,12.4,-24.78,0.86,11.09
321,2834.5,24,3.8,0.6,35.4,67.8,30.7,0.3,12.6,-24.95,0.98,10.47
322,2845,23.3,3.7,0.6,65.9,41.6,56.4,1.1,12.9,-25.12,1.11,9.45
323,2857,13.2,3.1,1,56.2,57.9,37.3,3.7,12.7,-24.98,1.35,7.24
324,2867,11.5,3.1,1,68.1,60,36.9,1.6,11.1,-23.9,1.95,5.02
325,2878,14.3,3.8,0.9,85.7,61.5,37.4,0,9.5,-22.82,2.55,2.81
326,2887.5,14.1,3.8,0.8,81.9,47.3,51.7,0,7.9,-21.75,3.15,0.6
327,2898,10.8,3.3,0.9,84.5,46,53,0,6.8,-21.32,3.54,0.09
328,2907,10.1,2.9,1,70.5,50.6,48.3,0,7.3,-22.85,3.28,0.15
329,2920.5,10.2,2.6,1.3,82,48,50.9,0.1,7.8,-24.38,3.02,0.2
330,2931.5,10.8,2.6,1.2,67.2,48.9,47.5,1.7,8.3,-25.91,2.76,0.26
331,2941.5,12.7,2.8,0.9,80.4,53.3,45.5,0,8.6,-25.57,2.67,0.32
332,2952,14.5,3.2,0.8,78.3,59.1,40.1,0,8.8,-24.61,2.62,0.85
333,2965.5,16,3.6,0.7,77.3,41.4,55.2,2.2,8.9,-23.65,2.58,1.53
334,2981,16.1,4,0.6,81.5,53.5,44.1,0.4,9.1,-22.69,2.53,2.21
335,3003,15,4.3,0.6,77.3,63.9,35.1,0,9.4,-22.23,2.55,2.9
336,3025,13.4,4.1,0.7,82,54.6,43.9,0,10,-23.29,2.75,3.58
337,3043,11.2,2.9,1.1,80.2,51.2,47.3,0.7,10.5,-24.35,2.95,3.41
338,3057.5,10.7,2.6,1.2,74.4,48.9,48,2,11.1,-25.41,3.15,2.97
339,3070.5,10.9,2.9,1,88.2,42.5,55.9,0.9,11.7,-26.23,3.29,2.52
340,3082,11.4,2.8,1.2,83.2,43.8,55,0,12.6,-26.34,3.27,2.07
341,3093,12.8,2.4,2,90.4,46.1,52.7,0,13.5,-26.46,3.24,1.62
342,3104,13.8,2.4,2.1,88.4,39.5,59.5,0.1,14.4,-26.57,3.22,1.86
343,3114.5,14.6,2.5,1.7,91.5,32.6,66.6,0.1,14.8,-26.58,3.11,2.32
344,3126.5,14.3,2.6,1.3,84.8,27.7,71.5,0.3,13.7,-26.26,2.76,2.79
345,3138,12.5,2.6,1,87.5,35.2,64.2,0.1,12.6,-25.95,2.41,3.26
346,3150,13.1,2.8,1,81.8,42.2,56.6,0,11.4,-25.64,2.06,3.72
347,3162,17.3,3.3,1,82.3,49.3,49.5,0,10.8,-25.45,1.88,3.27
348,3173,17.3,3.3,1.1,84.3,33.7,65.1,0.3,11.7,-25.62,2.21,2.5
349,3186,13.1,2.6,1.2,80.2,49.9,49.1,0.1,12.6,-25.8,2.53,1.74
350,3198,12.9,2.4,1.3,88.6,47.4,50.5,0.8,13.4,-25.98,2.86,0.97
351,3210,16.1,2.7,1.3,90.3,42.3,56.6,0.7,14,-26.11,3.11,0.21
352,3221,15.9,2.6,1.4,90.3,38.8,60.4,0,13.8,-26.11,3.13,0.12
353,3234,12.1,2.3,1.4,89.6,43.1,55,1.2,13.5,-26.11,3.16,0.26
354,3248,11.2,2.2,1.4,90.5,52.7,46.2,0.1,13.2,-26.1,3.18,0.4
355,3261,11.2,2.3,1.3,88.5,35.1,62.9,1,12.8,-26.12,3.09,0.54
356,3274,11.2,2.5,1.2,88.3,30.8,68.3,0.2,12.1,-26.21,2.67,0.68
357,3281,11.2,3.2,1,90.9,34.9,64.2,0,11.3,-26.29,2.24,3.87
358,3288,12.4,3.3,0.8,90.2,30.8,68.3,0.3,10.6,-26.38,1.82,8.07
359,3293,17.9,3.3,0.7,86.2,30.4,68.1,0.5,10,-26.35,1.48,12.27
360,3300,18,3.3,0.7,80.3,54.6,44,0.1,10,-26.01,1.41,16.47
361,3305.5,12.6,3.2,0.9,80.3,49.6,49.3,0.1,10,-25.66,1.33,20.67
362,3312,11.3,3.2,1,84.7,46.9,51.8,0.4,10,-25.31,1.26,18.77
363,3318,11.3,3.6,0.9,80.2,45.3,52.9,0.7,10.2,-25.02,1.19,14.82
364,3324,17.7,3.6,0.8,83.9,37.2,61.5,0.6,11.1,-24.91,1.14,10.88
365,3330,45.7,3.4,0.6,42.9,48.9,38,11,12,-24.79,1.09,6.94
366,3337,50.9,3.4,0.5,26.3,22.3,38.2,39,12.9,-24.67,1.04,3
367,3343,43.9,3.7,0.6,52.6,38.4,44.2,16.9,13.4,-24.34,1.28,2.98
368,3349,33.5,3.6,0.7,70.5,64.9,32.9,1.5,13,-23.36,2.41,4.27
369,3356,18.3,3.3,1.1,78.6,80.3,17.8,0,12.5,-22.37,3.53,5.56
370,3373,14.4,2.8,1.2,81.2,31.4,66.6,1.1,12,-21.38,4.66,6.84
371,3397,13.7,2.3,1,82.2,24.9,66.4,8.2,11.9,-20.79,5.19,8.13
372,3420,16.5,2.5,0.8,67.9,34.2,52.3,12.5,12.8,-21.39,3.94,7.94
373,3443,30.4,3.6,0.5,35.7,51.8,38,8.9,13.6,-21.98,2.69,7.25
374,3467,38.2,3.8,0.4,23.2,50.4,36.7,11.7,14.5,-22.58,1.44,6.56
375,3490,42.5,3.3,0.4,36.9,54.5,34.4,9.9,15.5,-23.22,0.49,5.87
376,3513,43.1,3.2,0.4,20.7,50.2,36.7,12.2,17.2,-24.01,0.44,5.18
377,3537,42.8,3.2,0.3,26.7,44.3,37.4,17.2,18.9,-24.8,0.39,5.05
378,3560,43.2,3.1,0.3,21,46.7,38.9,13.2,20.5,-25.59,0.34,5.09
379,3583,45.7,2.9,0.3,21.6,46.7,42.2,9.8,21.4,-26.14,0.43,5.14
380,3606,48.9,2.4,0.3,10.3,50.4,25.9,22.9,19.9,-25.97,0.97,5.19
381,3629,52.9,1.6,0.2,24.6,46.5,38.7,14,18.3,-25.8,1.5,5.24
382,3652.5,50.3,1.7,0.3,45.9,45.8,38.5,15.1,16.8,-25.62,2.03,5.07
383,3676,33.8,2.9,0.5,43,48.1,41.2,9.1,15.2,-25.45,2.57,4.25
384,3698.5,24.9,3.4,0.6,74.6,42.2,55.8,0.7,15.9,-25.13,2.42,3.44
385,3722,20.3,3.6,0.7,54.7,49.3,47,3.2,17.2,-24.77,2.04,2.63
386,3745,23.7,3.4,0.7,65.1,48.5,49.5,1,18.6,-24.4,1.66,1.81
387,3767,41.9,2.5,0.3,80.4,30.5,67.6,1,20,-24.04,1.28,1
388,3788.5,46,2.4,0.3,60.9,45.3,51.9,2.1,20.8,-23.98,1.06,1.72
389,3811,45.4,2.8,0.3,29.3,38.9,48.4,11.8,19.7,-24.84,1.31,2.95
390,3833,39.9,2.8,0.5,32.5,41.4,43.7,14.2,18.7,-25.7,1.56,4.17
391,3856,19.6,2.6,0.9,50,51.3,39.2,8.2,17.6,-26.56,1.81,5.4
392,3878.5,14.5,2.4,1.1,55.1,51.8,43.9,3.5,16.8,-27.09,1.97,6.06
393,3901,14.1,2.2,1.3,76.6,32.2,67.1,0.6,16.6,-26.62,1.84,5.02
394,3923,14.4,2.2,1.3,75.4,41.1,54.4,2.8,16.3,-26.16,1.72,3.97
395,3946,16.9,2.3,1,69.5,19.2,65.7,14.9,16.1,-25.7,1.59,2.92
396,3968.5,21.8,2.5,0.7,50.8,25.4,69.5,4.8,15.9,-25.51,1.49,1.87
397,3991,30.7,2.7,0.5,27.6,34.2,55.8,10.1,16.2,-26.15,1.47,1.14
398,4013,31.7,2.6,0.5,47.2,42.6,48.4,8.9,16.4,-26.8,1.45,1.37
399,4037.5,27.9,2,0.6,43,40,57.2,2.3,16.6,-27.44,1.43,1.6
400,4058,30.5,2,0.5,45.3,44,53.8,1.3,16.8,-28.09,1.41,1.83
401,4081,45.4,2.3,0.4,38.8,36.2,58,5.3,16.8,-28.32,1.36,2.06
402,4103.5,46.6,2.4,0.4,46.1,30,58.8,10.9,16.7,-28.42,1.31,2.2
403,4127.5,36.8,2.3,0.4,34.6,35.6,51.6,12.1,16.5,-28.51,1.26,2.04
404,4151,36.8,2.4,0.4,36.7,31.1,57.2,11.5,16.4,-28.61,1.21,1.89
405,4175,46.6,3.2,0.4,47.8,33.4,60.3,5.5,17,-28.56,1.22,1.73
406,4196.5,48.3,3.3,0.4,30.1,29.4,54.7,15.9,17.8,-28.47,1.24,1.58
407,4218.5,45.1,3.3,0.3,33.8,38.5,50.9,10.2,18.6,-28.38,1.27,1.5
408,4241,42.1,3.1,0.3,30.4,42.8,43.7,12.3,19.4,-28.29,1.29,1.66
409,4263.5,39.2,2.6,0.4,26.9,24.2,53.7,21.9,18.5,-26.98,1.62,1.82
410,4287,39.9,2.5,0.4,30.2,35.9,52.2,11.7,17.1,-25.27,2.04,1.98
411,4309,45,2.6,0.6,37.6,35.8,51.8,12.6,15.6,-23.56,2.47,2.14
412,4331,43.6,2.6,0.7,56.1,38,59,2.2,14.2,-21.85,2.89,2.24
413,4354,32.3,2.3,0.8,66.2,29.1,68.2,1.9,14.8,-22.46,2.77,2.16
414,4377.5,31.2,2.2,0.8,49.2,30.5,54.6,15,16.2,-23.85,2.46,2.09
415,4402,38.3,2.4,0.5,37,22.6,38.8,38.2,17.5,-25.24,2.14,2.01
416,4426,42,2.8,0.4,30.5,33.2,45.9,19.2,18.9,-26.62,1.83,1.93
417,4455,43.8,3.7,0.3,33.3,39.8,50.3,9.3,19.6,-27.71,1.61,1.86
418,4484.5,43.9,3.7,0.3,32.6,38.8,47.4,12.8,18.5,-27.91,1.64,1.79
419,4500.5,43.5,3.3,0.4,30.2,37.1,48.6,13.5,17.4,-28.1,1.66,1.72
420,4509,43.4,3.2,0.4,29,38.6,47.4,13.4,16.3,-28.29,1.69,1.66
421,4518,43.8,3.3,0.4,30.5,36.4,49.4,13.5,15.7,-28.11,1.38,1.59
422,4527,41.9,3.2,0.5,43.6,39.8,48.8,10.5,15.2,-27.8,0.96,1.56
423,4535,32.7,2.8,0.5,53.5,36.4,58,5.1,14.6,-27.49,0.53,1.64
424,4542,29.2,2.8,0.5,46.1,36.4,54.5,8.3,14.1,-27.18,0.11,1.72
425,4549,28.2,2.9,0.5,43.9,33.1,61.5,4.5,14.5,-26.96,0.32,1.8
426,4556,28.8,2.9,0.5,41.1,35,60.7,3.7,15.1,-26.77,0.74,1.88
427,4562,32.8,2.9,0.5,40.9,35.5,60.2,3.6,15.7,-26.58,1.17,1.89
428,4570,36.8,2.8,0.5,37.5,36,59.1,4.3,16.4,-26.39,1.59,1.68
429,4575.5,40.8,2.6,0.5,42.6,33.9,61.9,3.5,17.2,-26.72,1.68,1.47
430,4581.5,41,2.5,0.5,46.9,37.7,58.4,2.9,18,-27.22,1.66,1.26
431,4588,38.4,2.4,0.4,31.3,38.3,52.6,8.3,18.9,-27.71,1.63,1.05
432,4593.5,38.2,2.4,0.4,28,37,55.6,7,19.7,-28.21,1.61,1.02
433,4599,40,2.6,0.4,31.2,34.4,54.9,10.2,19.7,-27.95,1.62,1.51
434,4605.5,38.7,2.8,0.4,28.7,33.7,55.8,10.3,19.4,-27.43,1.64,2.01
435,4612,31.1,2.9,0.6,47.5,34.2,60.4,4.6,19.1,-26.92,1.66,2.5
436,4619,32.2,2.7,0.6,36.5,33.3,59.7,6.4,18.8,-26.4,1.68,2.99
437,4626,44.5,1.6,0.4,38.6,27.7,66.3,5.5,19,-26.05,1.69,3.25
438,4632.5,46.1,1.5,0.4,35.3,27.9,66.1,5.6,20.6,-26.21,1.66,2.83
439,4638.5,40.7,2.3,0.4,28.7,31.5,59.3,8.3,22.2,-26.37,1.64,2.4
440,4646,40.6,2.5,0.4,30.5,37.1,50.7,11.5,23.8,-26.53,1.61,1.97
441,4653.5,45.9,2.3,0.4,31.8,25.9,52.4,21.2,24.7,-26.41,1.62,1.54
