"","site","0","100","200","300","400","500","600","700","800","900","1000","1100","1200","1300","1400","1500","1600","1700","1710","1720","1730","1740","1750","1760","1770","1780","1790","1800","1810","1820","1830","1840","1850","1860","1870","1880","1890","1900","1910","1920","1930","1940","1950","1960","1970","1980","1990","2000"
"1","Bush-Gd_Acopia",0.212238028645515,0.949101448059082,1.88677728176117,0.326010853052139,1.08562970161438,2.0426127910614,0.464439153671265,1.23196029663086,2.16295266151428,0.666599810123444,1.55874192714691,2.56964349746704,0.911055445671082,1.69006156921387,2.47340989112854,1.07094490528107,0.794022440910339,0.814813852310181,1.07033848762512,1.51270747184753,0.842173337936401,1.05317783355713,1.39819467067719,0.858903765678406,1.02433669567108,1.28566980361938,0.864888966083527,0.985508739948273,1.17333364486694,0.858960926532745,1.10381436347961,1.4556428194046,1.36096918582916,1.62230813503265,2.01428580284119,2.18991732597351,2.80724740028381,3.35534358024597,4.34631729125977,3.82117557525635,3.80191135406494,5.61958837509155,3.84448719024658,3.90675401687622,6.01003503799438,7.64400148391724,9.00576114654541,10.9612150192261
"2","Bush-Gd_Huamnmrc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140874132514,0,0.297065019607544,0.429235517978668,0,0.314551025629044,0.425098836421967,0,0.325610339641571,0.414998173713684,0,0.330347448587418,0.398589164018631,0,0.385827362537384,0.513020932674408,0,0.583466172218323,0.729948580265045,0,1.02792227268219,1.23112368583679,0,0,1.43460273742676,0,0,1.52482938766479,0,0,0,4.32993841171265
"3","Bush-Gd_Miski",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140874132514,0,0.297065019607544,0.429235517978668,0,0.314551025629044,0.425098836421967,0,0.325610339641571,0.414998173713684,0,0.330347448587418,0.398589164018631,0,0.385827362537384,0.513020932674408,0,0.583466172218323,0.729948580265045,0,1.02792227268219,1.23112368583679,0,0,1.43460273742676,0,0,1.52482938766479,0,0,0,4.32993841171265
"4","Bush-Gd_Pacucha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59514456987381,0.933479309082031,1.25499713420868,1.81337189674377,1.04182422161102,1.32886946201324,1.79589581489563,1.13484358787537,1.37559127807617,1.7532240152359,1.20832943916321,1.39560389518738,1.68390154838562,1.25728213787079,1.62998735904694,2.16733646392822,2.05465841293335,2.46494317054749,3.08378076553345,3.38905024528503,4.34261655807495,5.21800231933594,6.81244945526123,6.0258674621582,6.07700634002686,9.1753568649292,6.31985330581665,6.45103693008423,9.92639446258545,12.6772594451904,14.9921951293945,18.2977733612061
"5","Clm-A-C_Belmir-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883461892604828,1.09492421150208,1.5552533864975,2.1557309627533,1.55049312114716,2.22578859329224,0,0,0,0,3.23419642448425,0,0,0,0,0,3.80478882789612,0,0,4.31894779205322,0,0,5.09500503540039,0,0,5.33404064178467,0,4.53851699829102,4.45377683639526,0,4.80450963973999,4.43822145462036
"6","Clm-A-C_Belmir-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883461892604828,1.09492421150208,1.5552533864975,2.1557309627533,1.55049312114716,2.22578859329224,0,0,0,0,3.23419642448425,0,0,0,0,0,3.80478882789612,0,0,4.31894779205322,0,0,5.09500503540039,0,0,5.33404064178467,0,4.53851699829102,4.45377683639526,0,4.80450963973999,4.43822145462036
"7","Clm-A-C_Belmir-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883461892604828,1.09492421150208,1.5552533864975,2.1557309627533,1.55049312114716,2.22578859329224,0,0,0,0,3.23419642448425,0,0,0,0,0,3.80478882789612,0,0,4.31894779205322,0,0,5.09500503540039,0,0,5.33404064178467,0,4.53851699829102,4.45377683639526,0,4.80450963973999,4.43822145462036
"8","Clm-A-C_Guarne-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687300786375999,0.11143684387207,0,0.146618545055389,0.172935977578163,0.111986361443996,0.17743943631649,0.258103251457214,0,0.337796032428741,0.381855756044388,0,0.527593731880188,0.6406210064888,0,0.764955282211304,0.968291580677032,0,0.826950788497925,0,0,0,0,0
"9","Clm-A-C_Guarne-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687300786375999,0.11143684387207,0,0.146618545055389,0.172935977578163,0.111986361443996,0.17743943631649,0.258103251457214,0,0.337796032428741,0.381855756044388,0,0.527593731880188,0.6406210064888,0,0.764955282211304,0.968291580677032,0,0.826950788497925,0,0,0,0,0
"10","Clm-A-E_Cucunb-1",0.522601544857025,2.22045254707336,4.18549823760986,0.810978651046753,2.5582160949707,4.57930660247803,1.16246008872986,2.92075037956238,4.91110610961914,1.62285029888153,3.49137306213379,6.05016469955444,2.51315474510193,4.80692005157471,7.17367458343506,8.43241691589355,8.1525182723999,5.67877912521362,8.28761768341064,11.7840938568115,8.14789295196533,12.020806312561,16.6594390869141,12.0078248977661,17.5278205871582,22.9850654602051,17.2636108398438,22.3950710296631,22.7286529541016,13.9752359390259,18.2311668395996,21.9311943054199,18.4508495330811,22.0156593322754,21.3794593811035,19.6058597564697,22.6936721801758,23.8969554901123,21.4492664337158,23.2716522216797,26.2163734436035,20.3946018218994,21.898229598999,16.0979900360107,15.3491182327271,16.7559108734131,15.7330808639526,14.1573247909546
