"","calBP","PrDens"
"1",3000,0.0442819245181587
"2",2999,0.0444348067775739
"3",2998,0.0445822220234896
"4",2997,0.044714401166989
"5",2996,0.0448513079896397
"6",2995,0.0449727508191255
"7",2994,0.0450237990110577
"8",2993,0.0450739057336487
"9",2992,0.0451230673446317
"10",2991,0.0451712804009341
"11",2990,0.0452185416614372
"12",2989,0.0452185416614372
"13",2988,0.0452185416614372
"14",2987,0.0452185416614372
"15",2986,0.0452185416614372
"16",2985,0.0452185416614372
"17",2984,0.0452185416614372
"18",2983,0.0452185416614372
"19",2982,0.0452185416614372
"20",2981,0.0452185416614372
"21",2980,0.0452185416614372
"22",2979,0.0452302078980975
"23",2978,0.0452418144112978
"24",2977,0.0452533611564193
"25",2976,0.0452648480896582
"26",2975,0.0452762751680276
"27",2974,0.0453101968563554
"28",2973,0.045343578382268
"29",2972,0.0453764187188966
"30",2971,0.0454087169070785
"31",2970,0.0454404720559023
"32",2969,0.0455003421547327
"33",2968,0.0455586838528595
"34",2967,0.0456154853799718
"35",2966,0.0456707354509877
"36",2965,0.0457244232831256
"37",2964,0.0458111673239854
"38",2963,0.0458917596995913
"39",2962,0.0459662061543555
"40",2961,0.0460345218575752
"41",2960,0.0460967314866579
"42",2959,0.0461528692798863
"43",2958,0.0462029790577981
"44",2957,0.0462471142124022
"45",2956,0.0462853376635924
"46",2955,0.0463177217822789
"47",2954,0.0463500013887073
"48",2953,0.0463663021341645
"49",2952,0.0463763274720016
"50",2951,0.0463702845876863
"51",2950,0.0463692589946098
"52",2949,0.0463698727829912
"53",2948,0.0463680653859084
"54",2947,0.0463638897802561
"55",2946,0.0463574007156829
"56",2945,0.0463486546576441
"57",2944,0.0463457493273129
"58",2943,0.0463426658670622
"59",2942,0.0463394056671991
"60",2941,0.0463359701283945
"61",2940,0.0463323606615556
"62",2939,0.0463341870474013
"63",2938,0.0463359701283945
"64",2937,0.0463377097272212
"65",2936,0.0463394056671991
"66",2935,0.0463410577722817
"67",2934,0.0463426658670622
"68",2933,0.0463442297767777
"69",2932,0.0463457493273129
"70",2931,0.0463472243452043
"71",2930,0.0463486546576441
"72",2929,0.0463453072648137
"73",2928,0.0463400630095324
"74",2927,0.0463329530133802
"75",2926,0.046324009758468
"76",2925,0.0463132670739533
"77",2924,0.0462804330559376
"78",2923,0.0462312872601813
"79",2922,0.0461860656236662
"80",2921,0.0461251454842186
"81",2920,0.046058875983085
"82",2919,0.0460108447868844
"83",2918,0.0459615335702086
"84",2917,0.045911114495723
"85",2916,0.0458597581889893
"86",2915,0.0458076333817034
"87",2914,0.045846607467285
"88",2913,0.0458848196232659
"89",2912,0.045922192823534
"90",2911,0.0459586501127302
"91",2910,0.0459941147001978
"92",2909,0.0460429047097688
"93",2908,0.0460892908613926
"94",2907,0.0461330533607625
"95",2906,0.0461739749734912
"96",2905,0.0462118415601232
