Sample ID,Sitename,Country,Sample,Material,C14_date,Error
SFU-109,Loma Alta,Ecuador,,,2540,8
GX-13028,Salango,Ecuador,,human bone,2540,85
Hv-1288,Cochasqui,Ecuador,738a,charcoal,255,60
Hv-14707,Putushio,Ecuador,(10)F240/VI-13dCor.A,charcoal,2560,85
GX-16563,Loma Tello,Ecuador,LT-13,charcoal,2590,140
GX-9995,Salango,Ecuador,,charcoal,2590,170
GX-7824,La Plata Island,Ecuador,,,2595,130
GX-7822,La Plata Island,Ecuador,,,2600,130
ISGS-1176,Nueva Era,Ecuador,,,2620,70
GX-7817,La Plata Island,Ecuador,,,2640,220
GX-9991,Salango,Ecuador,,charcoal,2650,165
GX-13025,Salango,Ecuador,,human bone,2655,85
GX-13669,Salango,Ecuador,,human bone,2660,480
GX-9992,Salango,Ecuador,,charcoal,2705,150
ISGS-1175,Nueva Era,Ecuador,,,2710,100
GX-7820,La Plata Island,Ecuador,,,2745,140
GX-7818,La Plata Island,Ecuador,,,2745,150
N-3870,,Ecuador,I-4,unknown,2750,150
GX-9994,Salango,Ecuador,,bone,2750,190
GX-9990,Salango,Ecuador,,charcoal,2765,175
Beta-89271,Huapula,Ecuador,,carbon,2780,90
HO-1307,Jama Valley,Ecuador,,charcoal,2800,115
GX-7816,La Plata Island,Ecuador,,,2830,240
N-3869,,Ecuador,I-2,unknown,2860,135
GX-13675,Salango,Ecuador,,human bone,2870,360
N-2785,Cotocollao,Ecuador,SI-Evans-37,unknown,2880,70
ISGS-3310,Dos Caminos,Ecuador,,,2880,70
GX-7823,La Plata Island,Ecuador,,,2915,140
ISGS-3309,Dos Caminos,Ecuador,,,2930,80
SI-1051,Buena Vista,Ecuador,,,2945,115
B-43348,Santa Matra,Ecuador,,,2950,80
GX-13673,Salango,Ecuador,,human bone,2965,460
I-7006,La Libertad,Ecuador,,,2990,90
OxA-1376,Pirincay,Ecuador,,charcoal,3000,120
OxA-948,Pirincay,Ecuador,,,3000,120
I-7008,La Libertad,Ecuador,,,3015,90
GX-13027,Salango,Ecuador,,human bone,3045,150
PITT-414,La Mina,Ecuador,,unknown,305,35
I-7013,La Libertad,Ecuador,,,3060,90
GX-7821,La Plata Island,Ecuador,,,3065,135
ISGS-1182,Nueva Era,Ecuador,,,3070,250
Beta-210218,Santa Ana - La Florida,Ecuador,,,3140,70
OxA-5836,Salango,Ecuador,,human bone,3180,60
GX-12469,Nambillo,Ecuador,R34/R40,unknown,3225,260
SI-1050,Buena Vista,Ecuador,,,3250,90
SRR-618,Punta Juramijo,Ecuador,,shell,32870,0
N-2784,Cotocollao,Ecuador,SI-Evans-36,unknown,3320,115
GX-12473,Nambillo,Ecuador,R24,unknown,3330,80
SMU-2241,La Emerenciana,Ecuador,,,3361,246
GX-13668,Salango,Ecuador,,human bone,3370,800
SMU-2226,La Emerenciana,Ecuador,,,3400,220
Beta-210217,Santa Ana - La Florida,Ecuador,,,3480,70
SRR-2583,Chimborazo,Ecuador,,peat,35440,680
SMU-4549,La Emerenciana,Ecuador,,charcoal,3629,303
N-2909,Ayalan,Ecuador,,,3630,105
Beta-188264,Santa Ana - La Florida,Ecuador,,,3660,90
N-2908,Ayalan,Ecuador,,,3665,95
Beta-188266,Santa Ana - La Florida,Ecuador,,,3690,40
Hv-1290,Cochasqui,Ecuador,778,charcoal,370,60
Beta-125106,La Emerenciana,Ecuador,Sample A Cat. No.5480,organic material/acid washes,3700,40
Beta-197176,Santa Ana - La Florida,Ecuador,,carbon,3700,40
Beta-214742,Santa Ana - La Florida,Ecuador,,carbon,3700,60
SMU-2225,La Emerenciana,Ecuador,,,3707,148
SMU-2263,La Emerenciana,Ecuador,,,3775,165
Beta-210219,Santa Ana - La Florida,Ecuador,,,3790,160
Beta-188263,Santa Ana - La Florida,Ecuador,,,3820,40
Beta-188265,Santa Ana - La Florida,Ecuador,,,3830,70
GX-7430,Real alto,Ecuador,,,3845,240
GX-7430,Real Alto,Ecuador,,,3845,240
Beta-172587,Santa Ana - La Florida,Ecuador,,,3860,40
Beta-125107,La Emerenciana,Ecuador,Sample B Cat No.5623,organic material/acid washes,3860,50
Hv-1282,Cochasqui,Ecuador,517,charcoal,390,50
L-1232H,Punta Concepción,Ecuador,,,3900,150
N-2783,Cotocollao,Ecuador,SI-Evans-35,unknown,3960,115
GX-7702,Loma Alta,Ecuador,,,3985,140
GX#30043,Santa Ana - La Florida,Ecuador,,,3990,70
GX#30044,Santa Ana - La Florida,Ecuador,,,400,71
GX-7434,Real Alto,Ecuador,,,4015,170
P-2761,Anllulla,Ecuador,3,charcoal,4020,220
SRR-2584,Chimborazo,Ecuador,,peat,40330,0
Hv-1289,Cochasqui,Ecuador,738b,charcoal,405,65
GX-7429,Real Alto,Ecuador,,,4050,185
GX-7429,Real Alto,Ecuador,,,4050,185
Hv-4675,Valdivia,Ecuador,,unknown,4075,110
M-1321,Valdivia,Ecuador,"Zone E, 3.9-4.2 m",shell,4100,140
SMU-4259,La Emerenciana,Ecuador,,charcoal,4109,215
ISGS-467,Real Alto,Ecuador,,,4140,190
GX-7436,Real Alto,Ecuador,,,4145,170
M-1318,Valdivia,Ecuador,"Zone D, 3.0-3.3 m",charcoal,4170,140
GX-7437,Real Alto,Ecuador,,,4175,165
GX-7438,Real Alto,Ecuador,,,4205,160
GX-7439,Real Alto,Ecuador,,,4240,180
GX-7700,Loma Alta,Ecuador,,,4245,145
Hv-1285,Cochasqui,Ecuador,656,charcoal,425,45
L-1232,Punta Concepción,Ecuador,,,4250,100
Hv-4838,Valdivia,Ecuador,,charcoal,4260,100
GX-7701,Loma Alta,Ecuador,,,4260,145
ISGS-446,Real Alto,Ecuador,,,4270,80
Beta-197175,Santa Ana - La Florida,Ecuador,,,4300,40
Hv-4673,Loma Alta,Ecuador,,charcoal,4335,100
SFU-120,Loma Alta,Ecuador,,,4360,160
GX-5271,Colimes,Ecuador,,,4365,245
GX-7703,Loma Alta,Ecuador,,,4375,135
M-1425,Valle de los Quijos,Ecuador,Sitio Minda,charcoal,440,100
