"","ages","dist_to_analogues","quality","lake"
"114",74,0.906257720950717,"poor","Fondococha"
"115",99,0.94098990673977,"poor","Fondococha"
"116",122,0.795456196804835,"good","Fondococha"
"117",141,0.624714987549775,"good","Fondococha"
"118",163,0.637182153173297,"good","Fondococha"
"119",179,0.74631732980839,"good","Fondococha"
"120",199,0.662193410123113,"good","Fondococha"
"121",218,0.640463634003312,"good","Fondococha"
"122",229,0.617113334559515,"good","Fondococha"
"123",238,0.609935960659861,"good","Fondococha"
"124",255,0.646023010558536,"good","Fondococha"
"125",271,0.620412558684372,"good","Fondococha"
"126",289,0.706788101246261,"good","Fondococha"
"127",304,0.633679002280795,"good","Fondococha"
"128",320,0.587289387444481,"good","Fondococha"
"129",331,0.723418040099475,"good","Fondococha"
"130",350,0.862305603905473,"good","Fondococha"
"131",368,0.792637079510297,"good","Fondococha"
"132",396,0.816187413169549,"good","Fondococha"
"133",419,0.731652283968396,"good","Fondococha"
"134",437,0.638261351023112,"good","Fondococha"
"135",447,0.576291445160686,"good","Fondococha"
"136",502,0.549625947162173,"good","Fondococha"
"137",536,0.497707264324724,"good","Fondococha"
"138",560,0.727501030285231,"good","Fondococha"
"139",594,0.954324258183898,"poor","Fondococha"
"140",645,0.676152892674983,"good","Fondococha"
"141",693,0.61105941005245,"good","Fondococha"
"142",735,0.937842623765181,"poor","Fondococha"
"143",790,0.79150064944866,"good","Fondococha"
"144",846,0.88701606471716,"poor","Fondococha"
"145",879,0.724761113587054,"good","Fondococha"
"146",932,0.633604767149449,"good","Fondococha"
"147",944,0.531049779304212,"good","Fondococha"
"148",965,0.521075403052917,"good","Fondococha"
"149",997,0.611053385003372,"good","Fondococha"
"150",1040,0.613553899183736,"good","Fondococha"
"151",1054,0.619054336762805,"good","Fondococha"
"152",1059,0.700331968192403,"good","Fondococha"
"153",1073,0.655880989942373,"good","Fondococha"
"154",1087,0.754677689754868,"good","Fondococha"
"155",1121,0.779716806920223,"good","Fondococha"
"156",1144,0.972630596470305,"poor","Fondococha"
"157",1173,0.858581200823418,"good","Fondococha"
"158",1196,0.682354921198587,"good","Fondococha"
"159",1239,0.749893667980155,"good","Fondococha"
"160",1281,0.969422400603844,"poor","Fondococha"
"161",1319,0.80316182042256,"good","Fondococha"
"162",1352,0.612996644081893,"good","Fondococha"
"163",1375,0.643937942213716,"good","Fondococha"
"164",1404,0.903140790444048,"poor","Fondococha"
"165",1469,0.834947082505499,"good","Fondococha"
"166",1544,0.864046038463142,"poor","Fondococha"
"167",1562,0.961602618120548,"poor","Fondococha"
"168",1573,0.990432621033413,"poor","Fondococha"
"169",1601,1.00849270645128,"bad","Fondococha"
"170",1629,0.931613245121363,"poor","Fondococha"
"171",1659,0.729127445038659,"good","Fondococha"
"172",1671,0.814700346395718,"good","Fondococha"
"173",1704,1.01482231117999,"bad","Fondococha"
"174",1728,1.00098808757812,"poor","Fondococha"
"175",1762,0.989306106818528,"poor","Fondococha"
"176",1782,1.00791266788749,"poor","Fondococha"
"177",1800,1.02315684698868,"bad","Fondococha"
"178",1816,1.01415495361544,"bad","Fondococha"
"179",1851,1.01775424908815,"bad","Fondococha"
"180",1874,0.97454443219625,"poor","Fondococha"
"181",1894,0.954203249574956,"poor","Fondococha"
"182",1910,0.913595468097195,"poor","Fondococha"
"183",1945,0.844312420230322,"good","Fondococha"
"184",1993,0.732815092569882,"good","Fondococha"
"185",2063,0.818672725192731,"good","Fondococha"
"186",2075,0.682309593338266,"good","Fondococha"
"187",2082,0.591987206856611,"good","Fondococha"
"188",2082,0.63851272723784,"good","Fondococha"
"189",2082,0.589151072313661,"good","Fondococha"
"190",2117,0.629172815204512,"good","Fondococha"
"191",2150,0.612393820645188,"good","Fondococha"
"192",2170,0.613815624336773,"good","Fondococha"
"193",2198,0.747756679708489,"good","Fondococha"
"194",2222,0.751786191368238,"good","Fondococha"
"195",2255,0.771643117470113,"good","Fondococha"
"196",2345,0.82723565559467,"good","Fondococha"
"197",2384,0.993187215366695,"poor","Fondococha"
"198",2410,0.739680950982525,"good","Fondococha"
"199",2441,0.622088809049899,"good","Fondococha"
"200",2469,0.67491279743514,"good","Fondococha"
"201",2484,0.733776056406492,"good","Fondococha"
"202",2525,0.628818593423695,"good","Fondococha"
"203",2571,0.607623199857891,"good","Fondococha"
"204",2598,0.72836052992341,"good","Fondococha"
"205",-63,0.280979827079251,"good","Llaviucu"
"206",-59,0.359328387728975,"good","Llaviucu"
"207",-55,0.356235247971088,"good","Llaviucu"
"208",-51,0.336490958514544,"good","Llaviucu"
"209",-46,0.372709748817581,"good","Llaviucu"
"210",-42,0.370405944313073,"good","Llaviucu"
"211",-38,0.721805004319555,"good","Llaviucu"
"212",-35,0.372910536611064,"good","Llaviucu"
"213",-31,0.375564882985953,"good","Llaviucu"
"214",-28,0.475354909320041,"good","Llaviucu"
"215",-25,0.467053220343622,"good","Llaviucu"
"216",-21,0.499807440133866,"good","Llaviucu"
"217",-15,0.564945642831808,"good","Llaviucu"
"218",-13,0.497919892996848,"good","Llaviucu"
"219",-8,0.513079922052919,"good","Llaviucu"
"220",-6,0.474081007650954,"good","Llaviucu"
"221",3,0.519449652192438,"good","Llaviucu"
"222",9,0.464069960896025,"good","Llaviucu"
"223",11,0.58531383120695,"good","Llaviucu"
"224",16,0.694163486767466,"good","Llaviucu"
"225",24,0.698479441981233,"good","Llaviucu"
"226",35,0.523222771500263,"good","Llaviucu"
"227",45,0.579857867577465,"good","Llaviucu"
"228",46,0.623575199928395,"good","Llaviucu"
"229",54,0.545017348315446,"good","Llaviucu"
"230",63,0.79093880490451,"good","Llaviucu"
"231",71,0.618445056706582,"good","Llaviucu"
"232",78,0.692496241079717,"good","Llaviucu"
"233",85,0.753024530341886,"good","Llaviucu"
"234",88,0.884054422621657,"poor","Llaviucu"
"235",93,0.724878466251674,"good","Llaviucu"
"236",104,0.798197069149258,"good","Llaviucu"
"237",114,0.571349295687777,"good","Llaviucu"
"238",115,0.721252849667621,"good","Llaviucu"
"239",121,0.794553575271899,"good","Llaviucu"
"240",126,0.753867253792575,"good","Llaviucu"
"241",127,0.690690078726598,"good","Llaviucu"
"242",144,0.838065821167468,"good","Llaviucu"
"243",166,0.8533096194646,"good","Llaviucu"
"244",180,0.853235494960647,"good","Llaviucu"
"245",200,0.774735215512062,"good","Llaviucu"
"246",218,0.861477194455322,"good","Llaviucu"
"247",251,0.695542575184486,"good","Llaviucu"
"248",262,0.873838034486011,"poor","Llaviucu"
"249",317,0.776787776488754,"good","Llaviucu"
"250",385,0.855521683586458,"good","Llaviucu"
"251",445,0.743800478226411,"good","Llaviucu"
"252",456,0.711867385735192,"good","Llaviucu"
"253",501,0.811616155960889,"good","Llaviucu"
"254",540,0.7504130176596,"good","Llaviucu"
"255",587,0.725886553479732,"good","Llaviucu"
"256",632,0.766510071507381,"good","Llaviucu"
"257",724,0.761547914611913,"good","Llaviucu"
"258",787,0.867471981813619,"good","Llaviucu"
"259",914,0.863292055516815,"good","Llaviucu"
"260",1038,0.794332991834983,"good","Llaviucu"
"261",1155,0.794738401490453,"good","Llaviucu"
"262",1255,0.808689179272242,"good","Llaviucu"
"263",1349,0.772925427344092,"good","Llaviucu"
"264",1430,0.85899748638649,"good","Llaviucu"
"265",1505,0.863845937811815,"good","Llaviucu"
"266",1636,0.871375991940265,"poor","Llaviucu"
"267",1690,0.902089765739313,"bad","Llaviucu"
"268",1703,0.862821374493735,"good","Llaviucu"
"269",1765,0.858180956118532,"good","Llaviucu"
"270",1839,0.827763343411125,"good","Llaviucu"
"271",1908,0.832831561457044,"good","Llaviucu"
"272",1941,0.87319206669758,"poor","Llaviucu"
"273",2035,0.890269947561119,"poor","Llaviucu"
"274",2070,0.892976877949597,"poor","Llaviucu"
"275",2127,0.892650335205116,"poor","Llaviucu"
"276",2182,0.907025891790675,"bad","Llaviucu"
"277",2208,0.929838963919371,"bad","Llaviucu"
"278",2260,0.895406898929007,"poor","Llaviucu"
"279",2285,0.877781697510176,"poor","Llaviucu"
"280",2358,0.887734318638161,"poor","Llaviucu"
"281",2382,0.863541943511211,"good","Llaviucu"
"282",2450,0.869114113662848,"good","Llaviucu"
"283",2488,0.895672057513715,"poor","Llaviucu"
"284",2509,0.886533475975682,"poor","Llaviucu"
"285",2551,0.831009509922538,"good","Llaviucu"
"286",2586,0.76273752967859,"good","Llaviucu"
"287",2613,0.77856696680237,"good","Llaviucu"
"288",2649,0.757325888905117,"good","Llaviucu"
"289",2687,0.880296133891685,"poor","Llaviucu"
"290",2707,0.863191936150658,"good","Llaviucu"
"291",2735,0.81415200646845,"good","Llaviucu"
"292",2752,0.861002424615049,"good","Llaviucu"
"293",2776,0.884464079798759,"poor","Llaviucu"
"294",2793,0.899433134790684,"bad","Llaviucu"
"295",2820,0.881538388436179,"poor","Llaviucu"
"296",2852,0.880641358615384,"poor","Llaviucu"
"297",2884,0.906452327281671,"bad","Llaviucu"
