"","timeseriesBC_fromreference","age","clust","id"
"113",0.632139608368842,371,2,"yahuarcocha"
"118",0.549756304301759,433,2,"yahuarcocha"
"124",0.637867647058824,497,2,"yahuarcocha"
"129",0.514816684791052,560,2,"yahuarcocha"
"134",0.532925134292476,631,2,"yahuarcocha"
"139",0.635995862544535,697,2,"yahuarcocha"
"146",0.585863777742633,765,2,"yahuarcocha"
"151",0.79329152105657,835,2,"yahuarcocha"
"157",0.906742747114696,903,2,"yahuarcocha"
"162",0.874304042604696,968,2,"yahuarcocha"
"167",0.464301370663705,1030,3,"yahuarcocha"
"172",0.420991345983661,1079,3,"yahuarcocha"
"176",0.485898163922014,1123,3,"yahuarcocha"
"180",0.642524221000262,1166,3,"yahuarcocha"
"185",0.609613833329886,1209,3,"yahuarcocha"
"190",0.632386500677192,1252,3,"yahuarcocha"
"195",0.510920572388622,1297,3,"yahuarcocha"
"199",0.464916343272061,1340,3,"yahuarcocha"
"205",0.422081840235448,1386,3,"yahuarcocha"
"210",0.575041832122075,1431,3,"yahuarcocha"
"214",0.39800087498795,1476,3,"yahuarcocha"
"219",0.363383838383838,1523,3,"yahuarcocha"
"224",0.261015080521321,1571,3,"yahuarcocha"
"229",0.333321569319452,1596,3,"yahuarcocha"
"233",0.427263193834748,1617,4,"yahuarcocha"
"247",0.293097539241894,1683,4,"yahuarcocha"
"254",0.297075142133023,1705,4,"yahuarcocha"
"267",0.326019479824467,1773,4,"yahuarcocha"
"276",0,1815,4,"yahuarcocha"
"9",0.405162827992859,1,1,"pinan"
"13",0.427929324240546,3,1,"pinan"
"19",0.394392407738663,5,1,"pinan"
"28",0.445482886952203,11,1,"pinan"
"32",0.450177817440761,16,1,"pinan"
"38",0.407636003685449,24,1,"pinan"
"44",0.39633085881724,34,1,"pinan"
"49",0.38975353546508,47,1,"pinan"
"53",0.444354372641272,60,1,"pinan"
"59",0.36050163216396,72,1,"pinan"
"64",0.385487528344671,89,1,"pinan"
"69",0.354864034050603,104,1,"pinan"
"75",0.449832931357537,114,1,"pinan"
"80",0.38953488372093,128,1,"pinan"
"85",0.407870186143167,153,1,"pinan"
"89",0.380232971128258,191,1,"pinan"
"94",0.398228680526092,236,1,"pinan"
"99",0.39380434658082,282,1,"pinan"
"106",0.410544702902559,328,1,"pinan"
"112",0.378692188393747,371,1,"pinan"
"116",0.392433913103958,415,2,"pinan"
"121",0.445088699445768,462,2,"pinan"
"127",0.432939897002847,506,2,"pinan"
"133",0.402802324574584,524,2,"pinan"
"137",0.466440673817668,542,2,"pinan"
"142",0.428508331449183,561,2,"pinan"
"149",0.529058242346056,579,2,"pinan"
"154",0.38493111829189,598,2,"pinan"
"160",0.404192204506293,616,2,"pinan"
"164",0.470958969758098,634,2,"pinan"
"170",0.430995950328511,654,2,"pinan"
"174",0.406958034355295,672,2,"pinan"
"179",0.483668811631601,691,2,"pinan"
"182",0.480790209865742,709,2,"pinan"
"189",0.411226007194774,728,2,"pinan"
"194",0.44746710367764,746,2,"pinan"
"198",0.468331149274663,764,2,"pinan"
"202",0.644695473478905,764,2,"pinan"
"209",0.506849473428667,764,2,"pinan"
"212",0.45580589254766,764,2,"pinan"
"217",0.295016040329973,764,3,"pinan"
"221",0.242931677578571,783,3,"pinan"
"227",0.311664647954078,802,3,"pinan"
"231",0.29807027571378,820,3,"pinan"
"236",0.34314183315798,839,3,"pinan"
"240",0.328143972936142,858,3,"pinan"
"246",0.35738372531486,876,3,"pinan"
"250",0.346425553827925,895,3,"pinan"
"256",0.422796983236544,920,3,"pinan"
"261",0.561691502028832,946,4,"pinan"
"265",0.674284616861917,946,4,"pinan"
"269",0.856973589847526,946,4,"pinan"
"284",0.274104683195592,1024,4,"pinan"
"291",0.243630517245711,1077,4,"pinan"
"297",0,1102,4,"pinan"
"2",0.562714267116055,-60,1,"fondococha"
"7",0.296984919135553,-50,1,"fondococha"
"11",0.335042206213815,-40,1,"fondococha"
"17",0.31564815576699,-29,1,"fondococha"
"21",0.344710549423631,-19,1,"fondococha"
"26",0.330137966690221,-9,1,"fondococha"
"30",0.149934733088191,12,1,"fondococha"
"36",0.350863197222325,45,1,"fondococha"
"42",0.437156277582663,74,1,"fondococha"
"47",0.485196195805701,99,1,"fondococha"
"51",0.235639707585926,122,1,"fondococha"
"57",0.308899614004419,141,1,"fondococha"
"62",0.242895541031875,163,1,"fondococha"
"67",0.214731050804949,179,1,"fondococha"
"73",0.16335257943574,199,1,"fondococha"
"78",0.251379101431714,218,1,"fondococha"
"83",0.158900197320594,229,1,"fondococha"
"87",0.159340711627951,238,1,"fondococha"
"92",0.168604210891449,255,1,"fondococha"
"97",0.261188435589697,271,1,"fondococha"
"104",0.138421603669649,289,1,"fondococha"
"110",0.226842696524896,304,1,"fondococha"
"114",0.207439973611528,320,1,"fondococha"
"119",0.188762305507343,331,1,"fondococha"
"125",0.292541127194658,350,1,"fondococha"
"131",0.20798095081698,368,1,"fondococha"
"135",0.251892671150787,396,1,"fondococha"
"140",0.167418130315523,419,1,"fondococha"
"147",0.333235342434958,437,1,"fondococha"
"152",0.37310271207926,447,1,"fondococha"
"158",0.43654242204496,502,1,"fondococha"
"163",0.446409167829469,536,1,"fondococha"
"168",0.106779306576483,560,1,"fondococha"
"173",0.448062330389089,594,1,"fondococha"
"177",0.090623689671114,645,1,"fondococha"
"181",0.225989240123516,693,1,"fondococha"
"187",0.422957612253636,735,1,"fondococha"
"192",0.323509614214927,790,1,"fondococha"
"197",0.419708422494881,846,1,"fondococha"
"200",0.248050160575011,879,1,"fondococha"
"207",0.160108760527886,932,1,"fondococha"
"211",0.459262916909818,944,1,"fondococha"
"215",0.297170755748587,965,1,"fondococha"
"220",0.435240703994478,997,2,"fondococha"
"225",0.30656864012943,1040,2,"fondococha"
"230",0.351034168931438,1054,2,"fondococha"
"234",0.247336992526049,1059,2,"fondococha"
"239",0.335700416088765,1073,2,"fondococha"
"244",0.435824878495275,1087,2,"fondococha"
"248",0.233689300826113,1121,3,"fondococha"
"255",0.467071402070896,1144,3,"fondococha"
"259",0.404855991252601,1173,3,"fondococha"
"263",0.397685143554499,1196,3,"fondococha"
"268",0.308949207922118,1239,3,"fondococha"
"273",0.462806557969378,1281,3,"fondococha"
"277",0.337604604800364,1319,3,"fondococha"
"280",0.3513931158566,1352,3,"fondococha"
"283",0.352980356445948,1375,3,"fondococha"
"286",0.365565279678216,1404,3,"fondococha"
"289",0.396111849373189,1469,3,"fondococha"
"295",0.427188208987656,1544,3,"fondococha"
"300",0.481997166256657,1562,3,"fondococha"
"303",0.468303315446495,1573,3,"fondococha"
"307",0.557768879616856,1601,3,"fondococha"
"313",0.529653281504876,1629,3,"fondococha"
"317",0.297701849350715,1659,3,"fondococha"
"320",0.47244094488189,1671,3,"fondococha"
"323",0.528691530437207,1704,3,"fondococha"
"328",0.504244021268971,1728,3,"fondococha"
"332",0.519993586476628,1762,3,"fondococha"
"336",0.53170039831007,1782,3,"fondococha"
"339",0.562144387939707,1800,3,"fondococha"
"345",0.461892191984581,1816,3,"fondococha"
"347",0.514499593024263,1851,3,"fondococha"
"351",0.45337235733108,1874,3,"fondococha"
"355",0.422284799293247,1894,3,"fondococha"
"359",0.38810110309185,1910,3,"fondococha"
"362",0.323182253447561,1945,3,"fondococha"
"366",0.467939396401154,1993,4,"fondococha"
"368",0.318149557518575,2063,4,"fondococha"
"373",0.170669797252277,2075,4,"fondococha"
"375",0.222933662131357,2082,4,"fondococha"
"378",0.323535556302399,2082,4,"fondococha"
"381",0.32250081680582,2082,4,"fondococha"
"385",0.436929797433122,2117,4,"fondococha"
"390",0.302220466664786,2150,4,"fondococha"
"392",0.251160216066467,2170,4,"fondococha"
"395",0.174166009372245,2198,4,"fondococha"
"399",0.210960691259052,2222,4,"fondococha"
"403",0.19335914072297,2255,4,"fondococha"
"408",0.318513625953216,2345,4,"fondococha"
"410",0.434324356388658,2384,4,"fondococha"
"414",0.121677171827898,2410,4,"fondococha"
"419",0.203682241619599,2441,4,"fondococha"
"421",0.145146209866271,2469,4,"fondococha"
"425",0.0940062728397548,2484,4,"fondococha"
"427",0.161998056994819,2525,4,"fondococha"
"433",0.23050872057863,2571,4,"fondococha"
"436",0,2598,4,"fondococha"
