"","lake","timeseriesBC","age"
"140","Llaviucu",0.289509007010894,251
"141","Llaviucu",0.207254671127015,262
"142","Llaviucu",0.401244631324189,317
"143","Llaviucu",0.345068644106708,385
"144","Llaviucu",0.178373097789744,445
"145","Llaviucu",0.174188869880931,456
"146","Llaviucu",0.254324712848176,501
"147","Llaviucu",0.276080733810713,540
"148","Llaviucu",0.189285240486036,587
"149","Llaviucu",0.260333058339965,632
"150","Llaviucu",0.263455112634551,724
"151","Llaviucu",0.363607241663835,787
"152","Llaviucu",0.354363836597033,914
"153","Llaviucu",0.27312462829341,1038
"154","Llaviucu",0.290160285537424,1155
"155","Llaviucu",0.239426746215193,1255
"156","Llaviucu",0.395570677681046,1349
"157","Llaviucu",0.519433875439129,1430
"158","Llaviucu",0.245749398729338,1505
"159","Llaviucu",0.277238400682003,1636
"160","Llaviucu",0.224506895916076,1690
"161","Llaviucu",0.239580731827298,1703
"162","Llaviucu",0.332403868427149,1765
"163","Llaviucu",0.28211655605055,1839
"164","Llaviucu",0.237091286932913,1908
"165","Llaviucu",0.219289785181938,1941
"166","Llaviucu",0.278486065842998,2035
"167","Llaviucu",0.200800811934322,2070
"168","Llaviucu",0.400420538175205,2127
"169","Llaviucu",0.258531028414131,2182
"170","Llaviucu",0.239952224822901,2208
"171","Llaviucu",0.255190966764413,2260
"172","Llaviucu",0.176238489694344,2285
"173","Llaviucu",0.350584851291019,2358
"174","Llaviucu",0.153919542057561,2382
"175","Llaviucu",0.152542695373977,2450
"176","Llaviucu",0.25186031100145,2488
"177","Llaviucu",0.256114816593103,2509
"178","Llaviucu",0.306348564496563,2551
"179","Llaviucu",0.221627621199509,2586
"180","Llaviucu",0.219719018870332,2613
"181","Llaviucu",0.168955481571522,2649
"182","Llaviucu",0.254078919365219,2687
"183","Llaviucu",0.191847758321747,2707
"184","Llaviucu",0.210257123115732,2735
"185","Llaviucu",0.233474655784944,2752
"186","Llaviucu",0.234439819993589,2776
"187","Llaviucu",0.169603716794265,2793
"188","Llaviucu",0.224463946439881,2820
"189","Llaviucu",0.328771775999904,2852
"190","Llaviucu",0.324242081974075,2884
"191","Llaviucu",0.235597679652582,2931
"192","Llaviucu",0.233840401849421,2961
"193","Llaviucu",0.240679630496592,2967
"194","Llaviucu",0.315305503175326,2997
"195","Llaviucu",0.387918486171761,3000
"196","Llaviucu",0.243344183360674,3016
"197","Llaviucu",0.351911172143637,3036
"198","Llaviucu",0.304351694048241,3045
"199","Llaviucu",0.329626191929581,3064
"200","Llaviucu",0.335633984300291,3083
"201","Llaviucu",0.306850333341077,3104
"202","Llaviucu",0.206351955113774,3113
"203","Llaviucu",0.213673067021637,3140
"204","Llaviucu",0.161563845852676,3162
"205","Llaviucu",0.148074835578826,3181
"206","Llaviucu",0.262187847401101,3194
"207","Llaviucu",0.281784778976837,3208
"208","Llaviucu",0.183242920690029,3227
"209","Pinan",0.225497177053786,3
"210","Pinan",0.172035076123518,5
"211","Pinan",0.210299298259923,11
"212","Pinan",0.194279715120733,16
"213","Pinan",0.188005510713207,24
"214","Pinan",0.216641512130932,34
"215","Pinan",0.258618207683775,47
"216","Pinan",0.219491829859122,60
"217","Pinan",0.260676867634451,72
"218","Pinan",0.235055568388902,89
"219","Pinan",0.213076597545493,104
"220","Pinan",0.237763353458338,114
"221","Pinan",0.258405359363732,128
"222","Pinan",0.31345170481348,153
"223","Pinan",0.257915153516012,191
"224","Pinan",0.204256898898651,236
"225","Pinan",0.276242302735214,282
"226","Pinan",0.209510774113059,328
"227","Pinan",0.328439612985169,371
"228","Pinan",0.304798517196403,415
"229","Pinan",0.25533155524841,462
"230","Pinan",0.201859144019108,506
"231","Pinan",0.225685110238004,524
"232","Pinan",0.266452294703053,542
"233","Pinan",0.173046061193168,561
"234","Pinan",0.178485721142309,579
"235","Pinan",0.239658144971071,598
"236","Pinan",0.185926553237355,616
"237","Pinan",0.205025070251804,634
"238","Pinan",0.231917771778197,654
"239","Pinan",0.326674617372292,672
"240","Pinan",0.235109315894082,691
"241","Pinan",0.277159084877117,709
"242","Pinan",0.227474988226927,728
"243","Pinan",0.369354291918243,746
"244","Pinan",0.273913393108439,764
"245","Pinan",0.482417991250689,764
"246","Pinan",0.612017311326535,764
"247","Pinan",0.155248393992011,764
"248","Pinan",0.53818016585255,764
"249","Pinan",0.23020369936783,783
"250","Pinan",0.296428225520054,802
"251","Pinan",0.256202213201241,820
"252","Pinan",0.220089741881026,839
"253","Pinan",0.243375996710989,858
"254","Pinan",0.244417740991469,876
"255","Pinan",0.329367811881913,895
"256","Pinan",0.269057760439473,920
"257","Pinan",0.34437451821853,946
"258","Pinan",0.58970479682286,946
"259","Pinan",0.711910992610148,946
"260","Pinan",0.818510786360473,1024
"261","Pinan",0.251775671618382,1077
"262","Pinan",0.243630517245711,1102
"263","Yahuarcocha",0.288519640123388,-68
"264","Yahuarcocha",0.142979026733656,-64
"265","Yahuarcocha",0.300161321586454,-62
"266","Yahuarcocha",0.163807601749075,-59
"267","Yahuarcocha",0.318768529076397,-57
"268","Yahuarcocha",0.398924439133033,-54
"269","Yahuarcocha",0.271515924197601,-51
"270","Yahuarcocha",0.117209073427689,-47
"271","Yahuarcocha",0.140979670636085,-43
"272","Yahuarcocha",0.234835076427997,-38
"273","Yahuarcocha",0.164058285596856,-33
"274","Yahuarcocha",0.174289214216572,-25
"275","Yahuarcocha",0.180907309076654,-12
"276","Yahuarcocha",0.283467012898764,7
"277","Yahuarcocha",0.159354318355081,26
"278","Yahuarcocha",0.324221159626424,66
"279","Yahuarcocha",0.424948062102089,116
"280","Yahuarcocha",0.188949299548378,174
"281","Yahuarcocha",0.435924116173178,238
"282","Yahuarcocha",0.31875051910691,304
"283","Yahuarcocha",0.191484411354118,371
"284","Yahuarcocha",0.345556402315438,433
"285","Yahuarcocha",0.239946820595239,497
"286","Yahuarcocha",0.268228363456912,560
"287","Yahuarcocha",0.129864224376651,631
"288","Yahuarcocha",0.387322526293998,697
"289","Yahuarcocha",0.236430814526419,765
"290","Yahuarcocha",0.390682095748389,835
"291","Yahuarcocha",0.289177662152654,903
"292","Yahuarcocha",0.575850797923476,968
"293","Yahuarcocha",0.756064137054247,1030
"294","Yahuarcocha",0.209341629841293,1079
"295","Yahuarcocha",0.134200176709781,1123
"296","Yahuarcocha",0.412456591043552,1166
"297","Yahuarcocha",0.288009735874819,1209
"298","Yahuarcocha",0.245298295977329,1252
"299","Yahuarcocha",0.295650430948086,1297
"300","Yahuarcocha",0.354678366176585,1340
"301","Yahuarcocha",0.137544014084507,1386
"302","Yahuarcocha",0.261415316775156,1431
"303","Yahuarcocha",0.424807101634766,1476
"304","Yahuarcocha",0.221626664535069,1523
"305","Yahuarcocha",0.270271789375348,1571
"306","Yahuarcocha",0.102519060937619,1596
"307","Yahuarcocha",0.335854286824665,1617
"308","Yahuarcocha",0.246247419787972,1683
"309","Yahuarcocha",0.149866316431352,1705
"310","Yahuarcocha",0.209012070784015,1773
"311","Yahuarcocha",0.326019479824468,1815
