"","lake","timeseriesBC_fromreference","age"
"160","Llaviucu",0.314186559023007,1505
"161","Llaviucu",0.341316274517674,1636
"162","Llaviucu",0.295625199931509,1690
"163","Llaviucu",0.437558043869312,1703
"164","Llaviucu",0.421981326520819,1765
"165","Llaviucu",0.492374603828138,1839
"166","Llaviucu",0.467886291473992,1908
"167","Llaviucu",0.482489051130136,1941
"168","Llaviucu",0.354867835524558,2035
"169","Llaviucu",0.312337352741035,2070
"170","Llaviucu",0.547618669335833,2127
"171","Llaviucu",0.412236510186343,2182
"172","Llaviucu",0.49394304974286,2208
"173","Llaviucu",0.374868473317715,2260
"174","Llaviucu",0.436516532302529,2285
"175","Llaviucu",0.248893166022584,2358
"176","Llaviucu",0.249736696193834,2382
"177","Llaviucu",0.256780850955077,2450
"178","Llaviucu",0.241855991446076,2488
"179","Llaviucu",0.295462725210006,2509
"180","Llaviucu",0.311321588916492,2551
"181","Llaviucu",0.27385271365453,2586
"182","Llaviucu",0.329117493178108,2613
"183","Llaviucu",0.305199351325962,2649
"184","Llaviucu",0.201858362504714,2687
"185","Llaviucu",0.189507665492396,2707
"186","Llaviucu",0.212652129482881,2735
"187","Llaviucu",0.248217920581088,2752
"188","Llaviucu",0.228260869565217,2776
"189","Llaviucu",0.271234406453414,2793
"190","Llaviucu",0.1856371197582,2820
"191","Llaviucu",0.368092364293034,2852
"192","Llaviucu",0.256749752626867,2884
"193","Llaviucu",0.307646648472017,2931
"194","Llaviucu",0.267859928995508,2961
"195","Llaviucu",0.25112194357597,2967
"196","Llaviucu",0.409892707765048,2997
"197","Llaviucu",0.198888923617575,3000
"198","Llaviucu",0.20588623035894,3016
"199","Llaviucu",0.409084262924236,3036
"200","Llaviucu",0.246615339186299,3045
"201","Llaviucu",0.358573586672057,3064
"202","Llaviucu",0.211978533673207,3083
"203","Llaviucu",0.281403024965647,3104
"204","Llaviucu",0.191570819376623,3113
"205","Llaviucu",0.209392233977163,3140
"206","Llaviucu",0.192782884194146,3162
"207","Llaviucu",0.189671798948349,3181
"208","Llaviucu",0.211761239869883,3194
"209","Llaviucu",0.183242920690029,3208
"210","Llaviucu",0,3227
"211","Pinan",0.405162827992859,1
"212","Pinan",0.427929324240545,3
"213","Pinan",0.394392407738663,5
"214","Pinan",0.445482886952203,11
"215","Pinan",0.450177817440761,16
"216","Pinan",0.407636003685449,24
"217","Pinan",0.39633085881724,34
"218","Pinan",0.38975353546508,47
"219","Pinan",0.444354372641272,60
"220","Pinan",0.36050163216396,72
"221","Pinan",0.385487528344671,89
"222","Pinan",0.354864034050603,104
"223","Pinan",0.449832931357537,114
"224","Pinan",0.38953488372093,128
"225","Pinan",0.407870186143167,153
"226","Pinan",0.380232971128258,191
"227","Pinan",0.398228680526092,236
"228","Pinan",0.39380434658082,282
"229","Pinan",0.410544702902559,328
"230","Pinan",0.378692188393747,371
"231","Pinan",0.392433913103957,415
"232","Pinan",0.445088699445768,462
"233","Pinan",0.432939897002847,506
"234","Pinan",0.402802324574584,524
"235","Pinan",0.466440673817668,542
"236","Pinan",0.428508331449183,561
"237","Pinan",0.529058242346056,579
"238","Pinan",0.384931118291889,598
"239","Pinan",0.404192204506293,616
"240","Pinan",0.470958969758098,634
"241","Pinan",0.430995950328511,654
"242","Pinan",0.406958034355295,672
"243","Pinan",0.483668811631601,691
"244","Pinan",0.480790209865742,709
"245","Pinan",0.411226007194774,728
"246","Pinan",0.44746710367764,746
"247","Pinan",0.468331149274663,764
"248","Pinan",0.644695473478906,764
"249","Pinan",0.506849473428667,764
"250","Pinan",0.45580589254766,764
"251","Pinan",0.295016040329972,764
"252","Pinan",0.242931677578571,783
"253","Pinan",0.311664647954079,802
"254","Pinan",0.29807027571378,820
"255","Pinan",0.343141833157981,839
"256","Pinan",0.328143972936142,858
"257","Pinan",0.35738372531486,876
"258","Pinan",0.346425553827925,895
"259","Pinan",0.422796983236544,920
"260","Pinan",0.561691502028832,946
"261","Pinan",0.674284616861917,946
"262","Pinan",0.856973589847526,946
"263","Pinan",0.274104683195592,1024
"264","Pinan",0.243630517245711,1077
"265","Pinan",0,1102
"266","Yahuarcocha",0.560724535403434,-72
"267","Yahuarcocha",0.627456491696531,-68
"268","Yahuarcocha",0.650613744946711,-64
"269","Yahuarcocha",0.663597984958138,-62
"270","Yahuarcocha",0.671080494961092,-59
"271","Yahuarcocha",0.660506081364463,-57
"272","Yahuarcocha",0.647803197621925,-54
"273","Yahuarcocha",0.664938588178456,-51
"274","Yahuarcocha",0.661839602380807,-47
"275","Yahuarcocha",0.660172982254249,-43
"276","Yahuarcocha",0.736623402948014,-38
"277","Yahuarcocha",0.758361875766418,-33
"278","Yahuarcocha",0.830321157892069,-25
"279","Yahuarcocha",0.872001632434791,-12
"280","Yahuarcocha",0.770162566537189,7
"281","Yahuarcocha",0.736517087857532,26
"282","Yahuarcocha",0.684459623674482,66
"283","Yahuarcocha",0.733429478775165,116
"284","Yahuarcocha",0.672149946617106,174
"285","Yahuarcocha",0.660838815464549,238
"286","Yahuarcocha",0.578274236523878,304
"287","Yahuarcocha",0.632139608368842,371
"288","Yahuarcocha",0.549756304301759,433
"289","Yahuarcocha",0.637867647058824,497
"290","Yahuarcocha",0.514816684791052,560
"291","Yahuarcocha",0.532925134292476,631
"292","Yahuarcocha",0.635995862544535,697
"293","Yahuarcocha",0.585863777742632,765
"294","Yahuarcocha",0.79329152105657,835
"295","Yahuarcocha",0.906742747114696,903
"296","Yahuarcocha",0.874304042604696,968
"297","Yahuarcocha",0.464301370663705,1030
"298","Yahuarcocha",0.420991345983661,1079
"299","Yahuarcocha",0.485898163922014,1123
"300","Yahuarcocha",0.642524221000262,1166
"301","Yahuarcocha",0.609613833329886,1209
"302","Yahuarcocha",0.632386500677192,1252
"303","Yahuarcocha",0.510920572388622,1297
"304","Yahuarcocha",0.464916343272061,1340
"305","Yahuarcocha",0.422081840235448,1386
"306","Yahuarcocha",0.575041832122075,1431
"307","Yahuarcocha",0.39800087498795,1476
"308","Yahuarcocha",0.363383838383838,1523
"309","Yahuarcocha",0.261015080521321,1571
"310","Yahuarcocha",0.333321569319452,1596
"311","Yahuarcocha",0.427263193834748,1617
"312","Yahuarcocha",0.293097539241895,1683
"313","Yahuarcocha",0.297075142133023,1705
"314","Yahuarcocha",0.326019479824468,1773
"315","Yahuarcocha",0,1815
